INTEGER	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT
year	semester	room	faculty1	faculty2	faculty3	faculty4	name	code	slot
2021	Jan-May		Piyush	Unnikrishnan Cheramangalathheramangalath			Compiler Design Laboratory	CS3140	
2021	Jan-May		Krithika				Parameterized Algorithms	CS5003	
2021	Jan-May		Mrinal				Deep Learning	CS5007	
2021	Jan-May		Chandra Shekar				Reinforcement Learning	CS5008	
2021	Jan-May		Jasine				Graph Theory and Combinatorics	CS5010	
2021	Jan-May		Vivek				AI for Cybersecurity	CS5012	
2021	Jan-May		Deepak				Foundations of Data Science & Machine Learning	CS5014	
2021	Jan-May		Albert				Computational Methods and Applications	CS5016	
2021	Jan-May		Satyajit				System on Chip Design	CS5102	
2021	Jan-May		Satyajit				Big Data Analytics	CS5104	
2021	Jan-May		Unnikrishnan				Real Time Systems	CS5618	
2021	Jan-May		Sandeep				Synthesis of Digital Systems	CS5619	
2021	Jan-May		Piyush				Logic	CS6004	
2021	Jan-May		All CSE Faculty				Project Phase 2	CS4120	
2021	Jul-Dec		Krithika				Logic for Computing	CS2010	
2021	Jul-Dec		Albert				Computer Networks	CS4010	
2021	Jul-Dec		Albert				Computer Networks Lab	CS4150	
2021	Jul-Dec		Jasine				Data Structures and Algorithms	CS2030	
2021	Jul-Dec		Jasine				Data Structures and Algorithms Laboratory	CS2130	
2021	Jul-Dec		Sandeep				Operating Systems	CS3010	
2021	Jul-Dec		Sandeep	Satyajit Das			Operating Systems Laboratory	CS3110	
2021	Jul-Dec		Piyush				Paradigms of Programming	CS3030	
2021	Jul-Dec		Piyush				Paradigms of Programming Laboratory	CS3130	
2021	Jul-Dec		Deepak				Theory of Computation	CS3050	
2021	Jul-Dec		Satyajit				Computer Vision	CS5620	
2021	Jul-Dec		Ramaswamy				Software Engineering	CS5617	
2021	Jul-Dec		All CSE Faculty				Project Phase 1	CS4110	
2021	Jul-Dec		Sahely				Optimization	CS5011	
2021	Jul-Dec		Piyush				Functional Programming	CS5002	
2021	Jul-Dec		Krithika				Algorithms	CS5009	
2021	Jul-Dec		Deepak				Topics in Discrete Mathematics	CS5013	
2021	Jul-Dec		Deepak				Theory of Computation	CS5017	
2021	Jul-Dec		Sandeep				Advanced Computer Architecture	CS5019	
2021	Jul-Dec		Satyadev Nandakumar (CSE, IITK)				Probability and Computing	CS5820	
2021	Jul-Dec		Mrinal	Koninika Pal			Information Retrieval	CS5621	
2021	Jul-Dec		Sahely				Machine Learning	CS5512	
2021	Jul-Dec		Sahely				Machine Learning Lab	CS5101	
2021	Jul-Dec		Unnikrishnan				Compiler Optimization and Program Analysis	CS5510	
2021	Jul-Dec		Albert	Sandeep Chandran	Vivek Chaturvedi		Programming Lab	CS5107	
2022	Jan-May	Auditorium, AAB; Computer Lab, AAB	Unnikrishnan Cheramangalath	Krishnamoorthy Dinesh	Vivek Chaturvedi		Introduction to Programming	CS1020	E, L2, L3, L4
2022	Jan-May		Satyadev Nandakumar (CSE, IITK)				Discrete Mathematics for Computer Science	CS2020	A
2022	Jan-May		Jasine Babu				Design and Analysis of Algorithms	CS2040	B, T5, L3
2022	Jan-May		Sandeep Chandran				Computer Organisation	CS2060	E
2022	Jan-May		C K Narayanan				Artificial Intelligence	CS2080	C
2022	Jan-May		Sandeep Chandran				Computer Organization Lab	CS2160	L4
2022	Jan-May		C K Narayanan				Artificial Intelligence Lab	CS2180	L5
2022	Jan-May		Koninika Pal				Database Management Systems	CS3020	A
2022	Jan-May		Piyush Kurur				Compiler Design	CS3040	H
2022	Jan-May		Koninika Pal	Sahely Bhadra			Database Management System Lab	CS3120	L3
2022	Jan-May		Piyush Kurur				Compiler Design Lab	CS3140	L4
2022	Jan-May		Unnikrishnan Cheramangalath				Parallel Programming	CS5005	C
2022	Jan-May	AAB 33	Krithika Ramaswamy				Graph Theory and Combinatorics	CS5010	A
2022	Jan-May	AAB 18	Vivek Chaturvedi				AI for Cyber Security	CS5012	H, T5
2022	Jan-May	AAB aud	Deepak Rajendraprasad				Foundations of Data Science and Machine Learning	CS5014	B
